,"SegmentID","OldID","Longitude","Latitude","District","Upazila","RefLevel","ParaHeight","StartYear","EndYear"
1241,"DH122_0","DH122",90.28,24.13,"Gazipur","Kaliakair",16.09,0.45,1980,1997
1242,"PA055_1","PA055",88.726,24.9,"Sirajganj","Chauhali",12.8,0.45,1980,1996
1243,"PA011_0_0","PA011",89.39,24.38,"Sirajganj","Tarash",12.3,0.45,1967,1983
1244,"KT022_0","KT022",89.02,23.85,"Kushtia","Mirpur",12.13,0.46,1976,1992
1245,"SY032_1_1","SY032",92.06,24.46,"Maulvibazar","Kulaura",2.48,0.91,1988,2004
1246,"NA018_0","NA018",90.86,23.05,"Lakshmipur","Ramganj",5.53,0.61,1977,1994
1247,"RJ044_0","RJ044",88.38,24.71,"Nawabganj","Nachole",42.35,0.45,1966,1982
1248,"CT010_1_0","CT010",92.01,21.85,"Cox'Sbazar","Chakaria",7.31,0.6,1972,1988
1249,"MY021_0","MY021",90.34,25.13,"Mymensingh","Haluaghat",14.25,0.59,1966,1983
1250,"FA059_1","FA059",90.43,23.21,"Shariatpur","Bhedarganj",6.03,0.46,1980,1996
1251,"PA059_2","PA059",89.73,24.41,"Sirajganj","Sirajganj Sadar",15.71,0.37,2002,2018
1252,"KT032_0","KT032",88.94,23.91,"Kushtia","Mirpur",14.71,0.56,1976,1992
1253,"KT048_1","KT048",88.7,23.69,"Meherpur","Meherpur Sadar",14.4,0.42,1986,2002
1254,"RJ022_0","RJ022",89.07,24.69,"Naogaon","Raninagar",15.26,0.45,1965,1981
1255,"SY102_1_0","SY102",91.21,25.13,"Sunamganj","Tahirpur",7.82,0.61,1978,1994
1256,"MY011_1_0","MY011",90.81,24.43,"Kishoreganj","Kishoreganj Sadar",10.85,0.61,1966,1983
1257,"SY043_2","SY043",91.91,24.62,"Maulvibazar","Rajnagar",25,0.35,2002,2019
1258,"RJ073_1","RJ073",88.3,24.73,"Nawabganj","Nachole",39.3,0.61,1966,1982
1259,"KT025_1","KT025",88.82,23.86,"Meherpur","Gangni",13.9,0.46,1999,2015
1260,"KH022_2","KH022",89.82,22.93,"Bagerhat","Mollahat",3.84,0.53,1994,2010
1261,"RJS38_1_0","RJS38",88.58,24.93,"Naogaon","Niamatpur",27.71,0.45,1984,2000
1262,"CT003_1","CT003",91.91,21.52,"Cox'Sbazar","Maheshkhali",9.9,0.46,2002,2018
1263,"NA008_0","NA008",90.89,23.12,"Lakshmipur","Ramganj",5.5,0.46,1975,1991
1264,"PA059_1","PA059",89.73,24.41,"Sirajganj","Sirajganj Sadar",15.71,0.37,1980,1997
1265,"JE005_0","JE005",89.25,23.69,"Jhenaidah","Shailkupa",8.6,0.46,1966,1983
1266,"CM018_0","CM018",90.73,23.41,"Chandpur","Matlab",6.76,0.46,1974,1990
1267,"RA-15_1","RA-15",88.95,26.01,"Nilphamari","Jaldhaka",51.1,0.84,1986,2002
